tt,staname,stla,stlo,evtname,evla,evlo,period,weight,dist,vel
1,MX01,24.575,102.15,MX00,24.15,102.15,2.0,1,47.127,1.986236
1,MX02,25.0,102.15,MX00,24.15,102.15,2.0,1,94.1263,1.983624
1,MX03,25.425,102.15,MX00,24.15,102.15,2.0,1,141.1781,1.983491
1,MX04,25.85,102.15,MX00,24.15,102.15,2.0,1,188.2191,1.983337
1,MX05,24.15,102.575,MX00,24.15,102.15,2.0,1,43.2173,1.996297
1,MX06,24.575,102.575,MX00,24.15,102.15,2.0,1,63.8294,2.032408
1,MX07,25.0,102.575,MX00,24.15,102.15,2.0,1,103.4804,1.977064
1,MX08,25.425,102.575,MX00,24.15,102.15,2.0,1,147.547,1.978513
1,MX09,25.85,102.575,MX00,24.15,102.15,2.0,1,193.0299,1.993037
1,MX10,24.15,103.0,MX00,24.15,102.15,2.0,1,86.351,1.994397
1,MX11,24.575,103.0,MX00,24.15,102.15,2.0,1,98.2267,2.034931
1,MX12,25.0,103.0,MX00,24.15,102.15,2.0,1,127.5276,2.011611
1,MX13,25.425,103.0,MX00,24.15,102.15,2.0,1,165.2456,1.979272
1,MX14,25.85,103.0,MX00,24.15,102.15,2.0,1,206.839,1.986795
1,MX15,24.15,103.425,MX00,24.15,102.15,2.0,1,129.5231,1.994326
1,MX16,24.575,103.425,MX00,24.15,102.15,2.0,1,137.6024,1.986416
1,MX17,25.0,103.425,MX00,24.15,102.15,2.0,1,159.736,2.039533
1,MX18,25.425,103.425,MX00,24.15,102.15,2.0,1,191.1277,2.002494
1,MX19,25.85,103.425,MX00,24.15,102.15,2.0,1,227.9754,1.97516
1,MX20,24.15,103.85,MX00,24.15,102.15,2.0,1,172.6919,1.994275
1,MX21,24.575,103.85,MX00,24.15,102.15,2.0,1,178.71,1.973809
1,MX22,25.0,103.85,MX00,24.15,102.15,2.0,1,196.1511,2.020957
1,MX23,25.425,103.85,MX00,24.15,102.15,2.0,1,222.3656,2.028937
1,MX24,25.85,103.85,MX00,24.15,102.15,2.0,1,254.6407,1.993933
1,MX02,25.0,102.15,MX01,24.575,102.15,2.0,1,47.0757,1.983816
1,MX03,25.425,102.15,MX01,24.575,102.15,2.0,1,94.1263,1.983552
1,MX04,25.85,102.15,MX01,24.575,102.15,2.0,1,141.1781,1.983491
1,MX05,24.15,102.575,MX01,24.575,102.15,2.0,1,63.8294,2.004036
1,MX06,24.575,102.575,MX01,24.575,102.15,2.0,1,43.049,2.039591
1,MX07,25.0,102.575,MX01,24.575,102.15,2.0,1,63.7156,1.952289
1,MX08,25.425,102.575,MX01,24.575,102.15,2.0,1,103.4102,1.981159
1,MX09,25.85,102.575,MX01,24.575,102.15,2.0,1,147.4978,1.999222
1,MX10,24.15,103.0,MX01,24.575,102.15,2.0,1,98.2021,2.026662
1,MX11,24.575,103.0,MX01,24.575,102.15,2.0,1,86.0703,2.04801
1,MX12,25.0,103.0,MX01,24.575,102.15,2.0,1,97.9554,1.971835
1,MX13,25.425,103.0,MX01,24.575,102.15,2.0,1,127.3187,1.958583
1,MX14,25.85,103.0,MX01,24.575,102.15,2.0,1,165.0991,1.991891
1,MX15,24.15,103.425,MX01,24.575,102.15,2.0,1,137.6024,2.025882
1,MX16,24.575,103.425,MX01,24.575,102.15,2.0,1,129.0927,2.005668
1,MX17,25.0,103.425,MX01,24.575,102.15,2.0,1,137.1797,2.021862
1,MX18,25.425,103.425,MX01,24.575,102.15,2.0,1,159.3873,1.958274
1,MX19,25.85,103.425,MX01,24.575,102.15,2.0,1,190.8363,1.963732
1,MX20,24.15,103.85,MX01,24.575,102.15,2.0,1,178.71,2.01479
1,MX21,24.575,103.85,MX01,24.575,102.15,2.0,1,172.1165,1.994175
1,MX22,25.0,103.85,MX01,24.575,102.15,2.0,1,178.1404,2.0258
1,MX23,25.425,103.85,MX01,24.575,102.15,2.0,1,195.6446,1.996651
1,MX24,25.85,103.85,MX01,24.575,102.15,2.0,1,221.9081,1.953443
1,MX03,25.425,102.15,MX02,25.0,102.15,2.0,1,47.0757,1.983751
1,MX04,25.85,102.15,MX02,25.0,102.15,2.0,1,94.1263,1.983607
1,MX05,24.15,102.575,MX02,25.0,102.15,2.0,1,103.457,2.009221
1,MX06,24.575,102.575,MX02,25.0,102.15,2.0,1,63.7156,2.000535
1,MX07,25.0,102.575,MX02,25.0,102.15,2.0,1,42.88,1.941332
1,MX08,25.425,102.575,MX02,25.0,102.15,2.0,1,63.6015,2.007936
1,MX09,25.85,102.575,MX02,25.0,102.15,2.0,1,103.34,2.0083
1,MX10,24.15,103.0,MX02,25.0,102.15,2.0,1,127.5086,2.019378
1,MX11,24.575,103.0,MX02,25.0,102.15,2.0,1,97.9554,1.984292
1,MX12,25.0,103.0,MX02,25.0,102.15,2.0,1,85.7606,1.93296
1,MX13,25.425,103.0,MX02,25.0,102.15,2.0,1,97.6833,1.993986
1,MX14,25.85,103.0,MX02,25.0,102.15,2.0,1,127.1285,2.021346
1,MX15,24.15,103.425,MX02,25.0,102.15,2.0,1,159.736,1.996426
1,MX16,24.575,103.425,MX02,25.0,102.15,2.0,1,137.1797,1.955036
1,MX17,25.0,103.425,MX02,25.0,102.15,2.0,1,128.6233,1.978152
1,MX18,25.425,103.425,MX02,25.0,102.15,2.0,1,136.7735,1.958487
1,MX19,25.85,103.425,MX02,25.0,102.15,2.0,1,159.0225,2.003216
1,MX20,24.15,103.85,MX02,25.0,102.15,2.0,1,196.1511,1.971904
1,MX21,24.575,103.85,MX02,25.0,102.15,2.0,1,178.1404,1.965799
1,MX22,25.0,103.85,MX02,25.0,102.15,2.0,1,171.5109,1.992608
1,MX23,25.425,103.85,MX02,25.0,102.15,2.0,1,177.5827,1.964198
1,MX24,25.85,103.85,MX02,25.0,102.15,2.0,1,195.1121,1.980759
1,MX04,25.85,102.15,MX03,25.425,102.15,2.0,1,47.0757,1.983868
1,MX05,24.15,102.575,MX03,25.425,102.15,2.0,1,147.547,1.998807
1,MX06,24.575,102.575,MX03,25.425,102.15,2.0,1,103.4336,1.976273
1,MX07,25.0,102.575,MX03,25.425,102.15,2.0,1,63.6015,1.957989
1,MX08,25.425,102.575,MX03,25.425,102.15,2.0,1,42.7105,2.04343
1,MX09,25.85,102.575,MX03,25.425,102.15,2.0,1,63.4873,1.999148
1,MX10,24.15,103.0,MX03,25.425,102.15,2.0,1,165.2456,1.989056
1,MX11,24.575,103.0,MX03,25.425,102.15,2.0,1,127.3377,1.95724
1,MX12,25.0,103.0,MX03,25.425,102.15,2.0,1,97.6833,1.981578
1,MX13,25.425,103.0,MX03,25.425,102.15,2.0,1,85.4497,2.052703
1,MX14,25.85,103.0,MX03,25.425,102.15,2.0,1,97.4353,2.021114
1,MX15,24.15,103.425,MX03,25.425,102.15,2.0,1,191.1277,1.959587
1,MX16,24.575,103.425,MX03,25.425,102.15,2.0,1,159.3873,1.968002
1,MX17,25.0,103.425,MX03,25.425,102.15,2.0,1,136.7558,2.027588
1,MX18,25.425,103.425,MX03,25.425,102.15,2.0,1,128.1899,2.006578
1,MX19,25.85,103.425,MX03,25.425,102.15,2.0,1,136.3483,2.023771
1,MX20,24.15,103.85,MX03,25.425,102.15,2.0,1,222.3656,1.958467
1,MX21,24.575,103.85,MX03,25.425,102.15,2.0,1,195.6446,2.00635
1,MX22,25.0,103.85,MX03,25.425,102.15,2.0,1,177.569,2.027401
