tt,staname,stla,stlo,stel,evtname,evla,evlo,evel,period,weight,dist,vel
23.133092,MX01,24.5750,102.1500,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,47.2578,2.042868
47.177859,MX02,25.0000,102.1500,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,94.5157,2.003391
71.107704,MX03,25.4250,102.1500,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,141.7735,1.993786
94.235144,MX04,25.8500,102.1500,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,189.0314,2.005954
20.881005,MX05,24.1500,102.5750,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,43.1217,2.065116
30.481313,MX06,24.5750,102.5750,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,63.9263,2.097228
52.027938,MX07,25.0000,102.5750,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,103.8277,1.995614
75.025664,MX08,25.4250,102.5750,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,148.1228,1.974295
96.373366,MX09,25.8500,102.5750,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,193.8222,2.011160
41.955060,MX10,24.1500,103.0000,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,86.2433,2.055612
47.093520,MX11,24.5750,103.0000,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,98.2158,2.085547
62.789848,MX12,25.0000,103.0000,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,127.7541,2.034629
83.250379,MX13,25.4250,103.0000,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,165.7172,1.990588
104.171457,MX14,25.8500,103.0000,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,207.5322,1.992218
64.188108,MX15,24.1500,103.4250,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,129.3647,2.015400
67.657071,MX16,24.5750,103.4250,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,137.5230,2.032647
77.125535,MX17,25.0000,103.4250,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,159.8621,2.072752
94.303383,MX18,25.4250,103.4250,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,191.4816,2.030485
115.720439,MX19,25.8500,103.4250,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,228.5619,1.975121
86.510439,MX20,24.1500,103.8500,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,172.4858,1.993815
89.476210,MX21,24.5750,103.8500,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,178.5642,1.995661
94.780906,MX22,25.0000,103.8500,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,196.1746,2.069769
108.078905,MX23,25.4250,103.8500,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,222.5968,2.059576
