tt,stla,stlo,evla,evlo,dist,evtname,staname,period,weight,vel
8.1875,19.39296,-155.109605,19.386532,-155.281715,18.0931955011,OTLD,NPOC,2.5,1,2.2098559390656485
10.5874031432,19.451827,-155.602737,19.248378,-155.498982,25.0208045373,WOOD,SWRD,2.5,1,2.363261717616768
9.28758972888,19.412033,-155.54704,19.246099,-155.615005,19.7078665107,KHU,TRAD,2.5,1,2.12195705086088
16.5875,19.46017,-155.27533,19.466578,-155.58107,32.1096544333,WILD,RSDD,2.5,1,1.9357741934167296
26.7874596626,19.541178,-155.644036,19.698593,-155.024497,67.2828307458,NAGD,ALEP,2.5,1,2.5117286817509856
7.6873247552,19.28123,-155.224645,19.38486,-155.12543,15.5011822446,STCD,POLD,2.5,1,2.0164599178816283
7.68763171018,19.398242,-155.266032,19.28123,-155.224645,13.66332853,POLD,KKO,2.5,1,1.7773130978565157
6.38748241084,19.296253,-155.30748,19.406623,-155.300005,12.242768989,WRM,HLPD,2.5,1,1.9166814405975
9.9877532583,19.285863,-155.129087,19.395368,-155.273643,19.4333226651,RIMD,KAED,2.5,1,1.945715133576269
6.08753000174,19.373568,-155.240608,19.28123,-155.224645,10.3581795825,POLD,DEVL,2.5,1,1.7015406214900493
9.78770450903,19.285863,-155.129087,19.398242,-155.266032,19.0212845875,KKO,KAED,2.5,1,1.9433856600340995
11.9876397839,19.433613,-155.004449,19.385509,-155.251312,26.4695956277,PUHI,JOKA,2.5,1,2.208073991616764
10.7875,19.285863,-155.129087,19.417662,-155.284097,21.8658424816,OBL,KAED,2.5,1,2.0269610643429896
16.4874109977,19.296253,-155.30748,19.529823,-155.456467,30.2219751012,PLAD,HLPD,2.5,1,1.8330334038143392
11.1875,19.237503,-155.397507,19.417662,-155.284097,23.2324717869,OBL,HTCD,2.5,1,2.0766455228513965
6.88744559332,19.35369,-155.664418,19.466578,-155.58107,15.2575983331,WILD,DAND,2.5,1,2.2152767853292445
9.08745201875,19.384045,-155.101578,19.417662,-155.284097,19.5291314791,OBL,JCUZ,2.5,1,2.149021688236245
5.78719811272,19.373568,-155.240608,19.39296,-155.109605,13.9280971986,NPOC,DEVL,2.5,1,2.4067082078954014
12.1874231452,19.493172,-155.386023,19.504323,-155.702741,33.270164677,TOUO,MLOD,2.5,1,2.729876880503932
24.1874523593,19.385509,-155.251312,19.856873,-155.65748,67.3639921174,WAID,PUHI,2.5,1,2.7850800951138104
6.08760191794,19.333395,-155.38565,19.417662,-155.284097,14.1714444691,OBL,DESD,2.5,1,2.3279190492625896
14.4874793608,19.493172,-155.386023,19.248378,-155.498982,29.5824426503,WOOD,MLOD,2.5,1,2.04193165101886
9.58769410954,19.384045,-155.101578,19.420972,-155.291162,20.3284169489,UWE,JCUZ,2.5,1,2.1202613179609795
6.78745107878,19.33566,-155.301105,19.46017,-155.27533,14.0462578119,RSDD,MITD,2.5,1,2.0694451641520666
7.28755410615,19.504323,-155.702741,19.466578,-155.58107,13.4393916172,WILD,TOUO,2.5,1,1.8441566843199744
13.4872716157,19.466578,-155.58107,19.406623,-155.300005,30.2528271712,WRM,WILD,2.5,1,2.243065019613298
5.78735644108,19.541178,-155.644036,19.466578,-155.58107,10.5774671272,WILD,ALEP,2.5,1,1.8276854441034047
6.48736308002,19.39296,-155.109605,19.385509,-155.251312,14.9084122244,PUHI,NPOC,2.5,1,2.2980696533411904
26.087617823,19.698593,-155.024497,19.466578,-155.58107,63.7942955043,WILD,NAGD,2.5,1,2.4453860040856674
10.187292085,19.529823,-155.456467,19.420972,-155.291162,21.1281175488,UWE,PLAD,2.5,1,2.0739679762308496
7.78745990389,19.384045,-155.101578,19.460442,-154.950189,18.0086371965,KIND,JCUZ,2.5,1,2.3125174856443635
7.58739855017,19.35369,-155.664418,19.412033,-155.54704,13.9194102357,TRAD,DAND,2.5,1,1.8345431762495368
29.0875319809,19.460442,-154.950189,19.8868,-155.34,62.4378188381,KKUD,KIND,2.5,1,2.1465492115006213
8.98735532077,19.39296,-155.109605,19.420972,-155.291162,19.3200112524,UWE,NPOC,2.5,1,2.149688152169858
8.78754108032,19.35369,-155.664418,19.450382,-155.524977,18.140619518,ELEP,DAND,2.5,1,2.0643567241610445
18.1872428566,19.68466,-155.835697,19.485115,-155.597133,33.3831563962,MOKD,HUAD,2.5,1,1.835525959564868
16.5873929471,19.42476,-155.277582,19.466578,-155.58107,32.2032726287,WILD,UWB,2.5,1,1.941430623329517
27.5874770943,19.8868,-155.34,19.390003,-155.293995,55.2066045539,SDH,KKUD,2.5,1,2.001147272916324
10.0876042587,19.423037,-155.26094,19.285863,-155.129087,20.5545774463,KAED,HAT,2.5,1,2.0376074357370646
14.3873813915,19.68466,-155.835697,19.856873,-155.65748,26.688291848,WAID,HUAD,2.5,1,1.8549791043815187
44.0876226022,19.51702,-154.861137,19.2633,-155.869,109.531968136,KAAD,ERZ4,2.5,1,2.484415390784404
15.187451904,19.412086,-155.259872,19.775885,-155.456039,45.2261937373,HPUD,BYL,2.5,1,2.9778658081141667
11.38728906,19.487841,-155.917267,19.504323,-155.702741,22.5938804218,TOUO,CACD,2.5,1,1.9841316315720188
7.58754851027,19.493172,-155.386023,19.42476,-155.277582,13.6747521397,UWB,MLOD,2.5,1,1.802262235449404
9.48744962428,19.541178,-155.644036,19.529823,-155.456467,19.7255711313,PLAD,ALEP,2.5,1,2.079122621196207
16.8873945101,19.485115,-155.597133,19.406623,-155.300005,32.3881799464,WRM,MOKD,2.5,1,1.9178908816886648
5.78747741544,19.541178,-155.644036,19.451827,-155.602737,10.7994071473,SWRD,ALEP,2.5,1,1.8659955576654224
7.2875,19.391443,-155.324317,19.379447,-155.169297,16.3384694933,KNHD,CPKD,2.5,1,2.241985522236707
5.28739476393,19.423037,-155.26094,19.33566,-155.301105,10.5525976182,MITD,HAT,2.5,1,1.995802864992909
7.78754886446,19.493172,-155.386023,19.427078,-155.267682,14.4197341963,SBL,MLOD,2.5,1,1.8516396426232744
6.3875,19.450382,-155.524977,19.402745,-155.627597,11.9981790161,RCOD,ELEP,2.5,1,1.878384190387476
14.1875279658,19.450382,-155.524977,19.856873,-155.65748,47.0953408094,WAID,ELEP,2.5,1,3.31948884421067
10.6877432355,19.402438,-155.07508,19.390003,-155.293995,23.0360566943,SDH,KUPD,2.5,1,2.1553714555739245
29.1875,19.8868,-155.34,19.373785,-155.2155,58.2726539322,PAUD,KKUD,2.5,1,1.996493496606424
10.2873449753,19.493172,-155.386023,19.466578,-155.58107,20.6878321391,WILD,MLOD,2.5,1,2.01099819134788
23.1874882291,19.371567,-155.263462,19.8868,-155.34,57.5983546678,KKUD,AHUD,2.5,1,2.4840273383088904
7.38773632457,19.386532,-155.281715,19.38486,-155.12543,16.418319317,STCD,OTLD,2.5,1,2.222374837931919
8.0875,19.333395,-155.38565,19.46017,-155.27533,18.1995475917,RSDD,DESD,2.5,1,2.250330459561051
6.88741809706,19.285863,-155.129087,19.39296,-155.109605,12.0306702668,NPOC,KAED,2.5,1,1.7467605563157949
5.68741600624,19.371567,-155.263462,19.333395,-155.38565,13.5155962418,DESD,AHUD,2.5,1,2.376403665033689
8.48711936066,19.39296,-155.109605,19.417662,-155.284097,18.5305334462,OBL,NPOC,2.5,1,2.1833713723991948
7.08764266558,19.395368,-155.273643,19.38486,-155.12543,15.6123091497,STCD,RIMD,2.5,1,2.2027506021880416
22.5875429337,19.373785,-155.2155,19.504323,-155.702741,53.1678397415,TOUO,PAUD,2.5,1,2.353856720828853
9.88784387337,19.384045,-155.101578,19.406623,-155.300005,20.992254572,WRM,JCUZ,2.5,1,2.1230366135266823
9.78735254755,19.391443,-155.324317,19.38486,-155.12543,20.9048811348,STCD,CPKD,2.5,1,2.1359076454268497
19.2877040315,19.386532,-155.281715,19.7033,-155.080597,40.9277589513,HILB,OTLD,2.5,1,2.1219611667857525
15.1876196299,19.379447,-155.169297,19.412033,-155.54704,39.84196842,TRAD,KNHD,2.5,1,2.6233188209140272
5.58731994573,19.333395,-155.38565,19.406623,-155.300005,12.1105606672,WRM,DESD,2.5,1,2.167507997542768
24.4875917484,19.379447,-155.169297,19.7573,-155.5326,56.5931993333,POHA,KNHD,2.5,1,2.311096979840729
10.3873204388,19.237503,-155.397507,19.395368,-155.273643,21.7903405573,RIMD,HTCD,2.5,1,2.097782646225684
9.78739588483,19.285863,-155.129087,19.33566,-155.301105,18.899949749,MITD,KAED,2.5,1,1.931049890226064
9.487596761,19.402438,-155.07508,19.427078,-155.267682,20.4117374353,SBL,KUPD,2.5,1,2.1514128339860625
13.7876352053,19.417662,-155.284097,19.466578,-155.58107,31.6519838331,WILD,OBL,2.5,1,2.2956789443437624
12.9876424855,19.433613,-155.004449,19.42476,-155.277582,28.7009203158,UWB,JOKA,2.5,1,2.209863749163332
5.68781881299,19.379447,-155.169297,19.395368,-155.273643,11.1019050449,RIMD,KNHD,2.5,1,1.951873892245857
7.08762198618,19.379447,-155.169297,19.46017,-155.27533,14.2780248934,RSDD,KNHD,2.5,1,2.0145014676629778
8.38759614852,19.38486,-155.12543,19.420972,-155.291162,17.8609138011,UWE,STCD,2.5,1,2.1294437029197666
7.78742990163,19.285863,-155.129087,19.402438,-155.07508,14.0970274393,KUPD,KAED,2.5,1,1.810228485825513
6.58743203085,19.333395,-155.38565,19.42476,-155.277582,15.2043503303,UWB,DESD,2.5,1,2.3080845857832903
20.4873739872,19.38486,-155.12543,19.451827,-155.602737,50.6748143188,SWRD,STCD,2.5,1,2.4734655769187577
22.8873711281,19.402438,-155.07508,19.451827,-155.602737,55.6837915282,SWRD,KUPD,2.5,1,2.432948337165475
6.88776411917,19.485115,-155.597133,19.529823,-155.456467,15.5728725274,PLAD,MOKD,2.5,1,2.260947421828462
8.78754319209,19.398242,-155.266032,19.493172,-155.386023,16.4070285921,MLOD,KKO,2.5,1,1.867078002742404
5.98757210753,19.373568,-155.240608,19.296253,-155.30748,11.0735919317,HLPD,DEVL,2.5,1,1.8494294069166688
27.1875,19.775885,-155.456039,19.460442,-154.950189,63.5212536148,KIND,HPUD,2.5,1,2.336413926061609
13.2876133494,19.391443,-155.324317,19.155413,-155.462112,29.8739490963,PPLD,CPKD,2.5,1,2.2482554474426326
7.78740898284,19.373568,-155.240608,19.402438,-155.07508,17.6792279997,KUPD,DEVL,2.5,1,2.2702323762187384
5.9876661694,19.237503,-155.397507,19.155413,-155.462112,11.3461566423,PPLD,HTCD,2.5,1,1.894921380267423
6.4875,19.402438,-155.07508,19.373785,-155.2155,15.0876488847,PAUD,KUPD,2.5,1,2.325649153710983
17.0875532462,19.485115,-155.597133,19.420972,-155.291162,32.9033707639,UWE,MOKD,2.5,1,1.9255753172981152
11.9873637881,19.333395,-155.38565,19.402745,-155.627597,26.5525094235,RCOD,DESD,2.5,1,2.2150415965401
10.4871092803,19.391443,-155.324317,19.39296,-155.109605,22.5545877893,NPOC,CPKD,2.5,1,2.1506963631692786
8.1875,19.529823,-155.456467,19.451827,-155.602737,17.6162563788,SWRD,PLAD,2.5,1,2.1516038325251907
6.68762515775,19.529823,-155.456467,19.466578,-155.58107,14.8359698459,WILD,PLAD,2.5,1,2.218421262547473
8.08746552307,19.602682,-155.483002,19.493172,-155.386023,15.8282558743,MLOD,HSSD,2.5,1,1.9571342627859016
7.68768871055,19.371567,-155.263462,19.384045,-155.101578,17.0622555127,JCUZ,AHUD,2.5,1,2.219425910063847
10.287346089,19.402745,-155.627597,19.248378,-155.498982,21.786781649,WOOD,RCOD,2.5,1,2.1178233395196124
8.28773967898,19.384045,-155.101578,19.395368,-155.273643,18.1178841528,RIMD,JCUZ,2.5,1,2.186106810129662
6.08779619427,19.237503,-155.397507,19.248378,-155.498982,10.7366050144,WOOD,HTCD,2.5,1,1.7636275380745476
9.18729165292,19.237503,-155.397507,19.390003,-155.293995,20.0826170492,SDH,HTCD,2.5,1,2.185912650635961
7.08754545107,19.493172,-155.386023,19.420972,-155.291162,12.7706617591,UWE,MLOD,2.5,1,1.801845483357292
9.18754344869,19.460442,-154.950189,19.38486,-155.12543,20.2169093519,STCD,KIND,2.5,1,2.2004695231980222
20.6875835397,19.384045,-155.101578,19.466578,-155.58107,51.1790683979,WILD,JCUZ,2.5,1,2.4739026817552694
5.08741057047,19.33566,-155.301105,19.42476,-155.277582,10.167917205,UWB,MITD,2.5,1,1.998642937139756
17.2872572243,19.35369,-155.664418,19.493172,-155.386023,33.064354541,MLOD,DAND,2.5,1,1.9126431747959864
12.4875,19.333395,-155.38565,19.38486,-155.12543,27.9270225088,STCD,DESD,2.5,1,2.236398198902903
5.78747172642,19.391443,-155.324317,19.296253,-155.30748,10.6846533167,HLPD,CPKD,2.5,1,1.8461694193552955
11.8876355608,19.417662,-155.284097,19.412033,-155.54704,27.6234907359,TRAD,OBL,2.5,1,2.32371614982795
5.8875,19.155413,-155.462112,19.248378,-155.498982,10.9969584118,WOOD,PPLD,2.5,1,1.8678485625138004
8.2874248477,19.493172,-155.386023,19.390003,-155.293995,14.9606462474,SDH,MLOD,2.5,1,1.805222553728739
8.18735937523,19.39296,-155.109605,19.42476,-155.277582,17.9907369537,UWB,NPOC,2.5,1,2.197379659201121
17.8874341193,19.493172,-155.386023,19.856873,-155.65748,49.3078695192,WAID,MLOD,2.5,1,2.756564702927308
